"last_name, first_name",year,home_run,k_percent,barrel_batted_rate,hard_hit_percent,lack_of_run_support,p_unearned_run
"Burnes, Corbin",2020,2,36.7,7.2,34.4,False,1
"Burnes, Corbin",2021,7,35.6,3.1,30.5,False,2
"Burnes, Corbin",2022,23,30.5,5.7,34.1,False,7
"Burnes, Corbin",2023,22,25.5,5.3,32.4,True,4
"Burnett, A.J.",2015,11,20.5,4.8,38.7,True,6
"Cain, Matt",2017,18,13.2,6.1,36.6,False,10
"Canning, Griffin",2020,8,23.5,8.9,34.2,True,4
"Canning, Griffin",2023,22,25.9,9.8,44.2,False,1
"Carrasco, Carlos",2015,18,29.6,4.5,34.1,True,1
"Carrasco, Carlos",2016,21,25.0,5.1,37.9,False,10
"Carrasco, Carlos",2017,21,28.3,7.4,34.6,False,0
"Carrasco, Carlos",2018,21,29.5,6.0,39.1,False,6
"Carrasco, Carlos",2020,8,29.3,8.3,34.9,True,0
"Carrasco, Carlos",2022,17,23.6,7.0,39.5,False,4
"Cashner, Andrew",2015,19,20.5,5.1,34.6,False,22
"Cashner, Andrew",2016,19,19.1,7.8,40.7,False,6
"Cashner, Andrew",2017,15,12.2,3.9,32.3,True,12
"Cashner, Andrew",2018,25,14.5,7.2,35.8,False,7
"Cashner, Andrew",2019,19,17.0,7.7,41.0,False,6
"Castellani, Ryan",2020,12,13.2,7.5,45.1,False,2
"Castillo, Luis",2018,28,23.3,8.8,39.5,False,8
"Castillo, Luis",2019,22,29.0,5.1,33.6,False,4
"Castillo, Luis",2020,5,30.5,4.5,37.1,True,6
"Castillo, Luis",2021,19,23.9,4.5,36.9,True,11
"Castillo, Luis",2022,13,27.2,6.9,37.6,True,6
"Castillo, Luis",2023,28,27.3,9.4,41.8,False,8
"Cease, Dylan",2020,12,17.3,8.8,40.9,True,4
"Cease, Dylan",2021,20,31.9,9.9,38.8,False,5
"Cease, Dylan",2022,16,30.4,6.2,31.2,False,10
"Cease, Dylan",2023,19,27.3,6.2,41.6,False,8
"Chacín, Jhoulys",2016,14,18.8,4.4,36.2,False,4
"Chacín, Jhoulys",2017,19,20.0,5.7,28.4,True,4
"Chacín, Jhoulys",2018,18,19.6,6.5,37.8,False,8
"Chatwood, Tyler",2016,15,17.5,4.0,35.2,True,7
"Chatwood, Tyler",2017,20,19.0,5.6,32.1,False,2
"Chavez, Jesse",2015,18,20.2,5.3,34.2,False,5
"Chavez, Jesse",2017,28,20.3,8.8,40.8,False,1
"Chen, Wei-Yin",2015,28,19.3,5.9,31.9,False,7
"Chen, Wei-Yin",2016,22,19.2,8.4,37.2,False,1
"Chen, Wei-Yin",2018,19,19.4,5.3,31.5,False,4
"Chirinos, Yonny",2019,23,21.5,8.8,33.8,False,4
"Civale, Aaron",2020,11,22.1,6.7,33.5,False,0
"Civale, Aaron",2023,12,23.0,6.6,36.4,False,0
"Clevinger, Mike",2018,21,25.6,5.6,31.8,False,4
"Clevinger, Mike",2023,16,20.0,7.2,35.9,True,1
