lack_of_run_support,home_run,p_unearned_run,k_percent,barrel_batted_rate,hard_hit_percent
0,0.6428571428571429,0.17391304347826086,0.32247557003257327,0.45736434108527135,0.35742971887550207
1,0.5,0.391304347826087,0.24755700325732896,0.3488372093023256,0.4216867469879516
1,0.4523809523809524,0.5217391304347826,0.44299674267100975,0.31782945736434104,0.6265060240963854
0,0.3333333333333333,0.391304347826087,0.4234527687296416,0.25581395348837205,0.5903614457831324
0,0.47619047619047616,0.2608695652173913,0.3061889250814332,0.38759689922480617,0.6746987951807228
0,0.6428571428571429,0.21739130434782608,0.29641693811074915,0.6666666666666666,0.610441767068273
1,0.3333333333333333,0.08695652173913043,0.3843648208469055,0.4341085271317829,0.6144578313253012
0,0.5476190476190477,0.08695652173913043,0.4657980456026058,0.6124031007751938,0.57429718875502
1,0.38095238095238093,0.34782608695652173,0.16612377850162863,0.16279069767441856,0.3654618473895581
0,0.42857142857142855,0.17391304347826086,0.05537459283387619,0.4108527131782945,0.6506024096385541
0,0.09523809523809523,0.08695652173913043,0.1758957654723127,0.34108527131782945,0.9759036144578312
0,0.38095238095238093,0.08695652173913043,0.2247557003257329,0.24806201550387597,0.2931726907630522
0,0.6190476190476191,0.391304347826087,0.263843648208469,0.5193798449612402,0.24899598393574293
0,0.2857142857142857,0.17391304347826086,0.4234527687296416,0.186046511627907,0.08835341365461843
1,0.6666666666666666,0.08695652173913043,0.30944625407166115,0.5271317829457365,0.28112449799196787
0,0.5,0.08695652173913043,0.3420195439739413,0.3333333333333333,0.3654618473895581
0,0.3333333333333333,0.0,0.4169381107491856,0.5813953488372093,0.5983935742971888
0,0.6666666666666666,0.21739130434782608,0.3876221498371335,0.2868217054263566,0.30522088353413646
0,0.07142857142857142,0.13043478260869565,0.1758957654723127,0.2945736434108527,0.2931726907630522
0,0.5952380952380952,0.13043478260869565,0.28338762214983715,0.5038759689922481,0.3694779116465863
0,0.2857142857142857,0.2608695652173913,0.29641693811074915,0.2248062015503876,0.18875502008032125
0,0.42857142857142855,0.21739130434782608,0.276872964169381,0.4806201550387596,0.34136546184738936
0,0.35714285714285715,0.08695652173913043,0.33550488599348527,0.40310077519379844,0.6987951807228916
1,0.40476190476190477,0.391304347826087,0.6058631921824104,0.2015503875968992,0.6144578313253012
1,0.6666666666666666,0.43478260869565216,0.5537459283387621,0.49612403100775193,0.6706827309236947
0,0.5952380952380952,0.43478260869565216,0.6123778501628663,0.3023255813953489,0.6586345381526104
0,0.40476190476190477,0.2608695652173913,0.48859934853420184,0.34108527131782945,0.5983935742971888
0,0.5476190476190477,0.17391304347826086,0.5472312703583061,0.6589147286821705,0.6305220883534136
0,0.19047619047619047,0.30434782608695654,0.5439739413680782,0.015503875968992262,0.036144578313252955
0,0.3333333333333333,0.17391304347826086,0.4397394136807817,0.21705426356589144,0.23293172690763053
